name,datetime,tempmax,tempmin,temp,humidity,precip,sunrise,sunset,icon,raintoday,raintomorrow
"Raipur,India",01-05-2020,40.6,25.9,32.9,40.8,0,2020-05-01T05:32:39,2020-05-01T18:28:43,clear-day,no,no
"Raipur,India",02-05-2020,41.8,27.1,33.9,36.5,0,2020-05-02T05:32:01,2020-05-02T18:29:07,clear-day,no,no
"Raipur,India",03-05-2020,41.6,24.5,33.7,39.2,0,2020-05-03T05:31:25,2020-05-03T18:29:31,clear-day,no,no
"Raipur,India",04-05-2020,40.4,26.3,32.8,43.2,0,2020-05-04T05:30:49,2020-05-04T18:29:55,clear-day,no,yes
"Raipur,India",05-05-2020,41.3,25.7,32.8,42,0.4,2020-05-05T05:30:15,2020-05-05T18:30:19,rain,yes,yes
"Raipur,India",06-05-2020,39.1,22.2,31.2,51.2,15,2020-05-06T05:29:41,2020-05-06T18:30:44,rain,yes,yes
"Raipur,India",07-05-2020,39.4,20.9,29.5,59.2,19,2020-05-07T05:29:09,2020-05-07T18:31:09,rain,yes,yes
"Raipur,India",08-05-2020,38,20.7,29,65.2,25,2020-05-08T05:28:37,2020-05-08T18:31:33,rain,yes,yes
"Raipur,India",09-05-2020,37.8,23,30,61,21.8,2020-05-09T05:28:06,2020-05-09T18:31:58,rain,yes,no
"Raipur,India",10-05-2020,38.4,24.8,30.2,53.7,0,2020-05-10T05:27:36,2020-05-10T18:32:24,partly-cloudy-day,no,no
"Raipur,India",11-05-2020,38.1,24.4,31.2,49.2,0,2020-05-11T05:27:08,2020-05-11T18:32:49,clear-day,no,no
"Raipur,India",12-05-2020,38.5,25.7,31.8,46.6,0,2020-05-12T05:26:40,2020-05-12T18:33:14,clear-day,no,no
"Raipur,India",13-05-2020,38.5,25.3,31.8,49.3,0,2020-05-13T05:26:13,2020-05-13T18:33:40,partly-cloudy-day,no,no
"Raipur,India",14-05-2020,39.8,27.1,33.5,45.7,0,2020-05-14T05:25:47,2020-05-14T18:34:05,partly-cloudy-day,no,no
"Raipur,India",15-05-2020,40.4,28.1,33.4,46.9,0,2020-05-15T05:25:23,2020-05-15T18:34:31,partly-cloudy-day,no,yes
"Raipur,India",16-05-2020,38,26.2,32.4,52.3,3.5,2020-05-16T05:24:59,2020-05-16T18:34:57,rain,yes,yes
"Raipur,India",17-05-2020,38,26.1,32.1,53.7,6.5,2020-05-17T05:24:37,2020-05-17T18:35:23,rain,yes,yes
"Raipur,India",18-05-2020,40.2,27.1,31.3,52.7,4,2020-05-18T05:24:15,2020-05-18T18:35:49,rain,yes,yes
"Raipur,India",19-05-2020,38,25.1,31.4,49.8,1.3,2020-05-19T05:23:55,2020-05-19T18:36:15,rain,yes,no
"Raipur,India",20-05-2020,39.1,23.5,31.8,38.9,0,2020-05-20T05:23:35,2020-05-20T18:36:40,partly-cloudy-day,no,no
"Raipur,India",21-05-2020,40.1,22.7,32.4,35.7,0,2020-05-21T05:23:17,2020-05-21T18:37:06,partly-cloudy-day,no,no
"Raipur,India",22-05-2020,44.1,25.5,34,28.4,0,2020-05-22T05:23:00,2020-05-22T18:37:32,partly-cloudy-day,no,no
"Raipur,India",23-05-2020,44.1,26.9,34.9,29.5,0,2020-05-23T05:22:44,2020-05-23T18:37:58,clear-day,no,no
"Raipur,India",24-05-2020,44.3,27.7,36.1,29.9,0,2020-05-24T05:22:29,2020-05-24T18:38:24,partly-cloudy-day,no,no
"Raipur,India",25-05-2020,45.1,27.4,36.4,35.5,0,2020-05-25T05:22:15,2020-05-25T18:38:49,partly-cloudy-day,no,no
"Raipur,India",26-05-2020,44.1,29.1,36.2,37.8,0,2020-05-26T05:22:02,2020-05-26T18:39:15,partly-cloudy-day,no,no
"Raipur,India",27-05-2020,43.2,28.6,36.3,38.4,0,2020-05-27T05:21:51,2020-05-27T18:39:40,partly-cloudy-day,no,no
"Raipur,India",28-05-2020,43.7,29.2,36.6,35.7,0,2020-05-28T05:21:40,2020-05-28T18:40:05,clear-day,no,no
"Raipur,India",29-05-2020,42,27.8,34.7,43.1,0,2020-05-29T05:21:31,2020-05-29T18:40:30,clear-day,no,yes
"Raipur,India",30-05-2020,37,23.6,30.6,58.8,2,2020-05-30T05:21:22,2020-05-30T18:40:54,rain,yes,yes
"Raipur,India",31-05-2020,39.1,25.2,30.5,61.1,29,2020-05-31T05:21:15,2020-05-31T18:41:19,rain,yes,yes
"Raipur,India",01-06-2020,36.1,25.1,30.7,60.9,14.7,2020-06-01T05:21:09,2020-06-01T18:41:43,rain,yes,yes
"Raipur,India",02-06-2020,32.6,25.1,28.1,72.7,0.5,2020-06-02T05:21:04,2020-06-02T18:42:07,rain,yes,yes
"Raipur,India",03-06-2020,32.3,24.8,28.3,74,12,2020-06-03T05:20:59,2020-06-03T18:42:30,rain,yes,yes
"Raipur,India",04-06-2020,36.1,25.7,30.6,61.3,6,2020-06-04T05:20:56,2020-06-04T18:42:54,rain,yes,no
"Raipur,India",05-06-2020,36,24.8,30.2,54,0,2020-06-05T05:20:54,2020-06-05T18:43:16,partly-cloudy-day,no,yes
"Raipur,India",06-06-2020,37.1,25.1,31.4,54.9,0.1,2020-06-06T05:20:54,2020-06-06T18:43:39,rain,yes,yes
"Raipur,India",07-06-2020,38,25.5,31.3,57.4,0.2,2020-06-07T05:20:54,2020-06-07T18:44:01,rain,yes,no
"Raipur,India",08-06-2020,38.1,26.9,31.5,58.9,0,2020-06-08T05:20:55,2020-06-08T18:44:22,partly-cloudy-day,no,yes
"Raipur,India",09-06-2020,38.6,26.6,31.5,60.2,4,2020-06-09T05:20:57,2020-06-09T18:44:43,rain,yes,yes
"Raipur,India",10-06-2020,38.3,27.1,31.8,59.9,1,2020-06-10T05:21:00,2020-06-10T18:45:03,rain,yes,yes
"Raipur,India",11-06-2020,36.1,23.1,29.7,73.2,44,2020-06-11T05:21:04,2020-06-11T18:45:23,rain,yes,yes
"Raipur,India",12-06-2020,33.1,25.1,29,79.4,16.7,2020-06-12T05:21:09,2020-06-12T18:45:42,rain,yes,yes
"Raipur,India",13-06-2020,33.7,25.9,28.5,79.9,0.4,2020-06-13T05:21:15,2020-06-13T18:46:01,rain,yes,yes
"Raipur,India",14-06-2020,34.1,25.9,29.7,76.5,2.4,2020-06-14T05:21:22,2020-06-14T18:46:19,rain,yes,yes
"Raipur,India",15-06-2020,32.9,25.9,28.9,79.1,0.1,2020-06-15T05:21:29,2020-06-15T18:46:37,rain,yes,yes
"Raipur,India",16-06-2020,31.1,25.5,28,82,0.2,2020-06-16T05:21:38,2020-06-16T18:46:53,rain,yes,yes
"Raipur,India",17-06-2020,34.4,24.2,28.5,75.1,0.3,2020-06-17T05:21:48,2020-06-17T18:47:09,rain,yes,yes
"Raipur,India",18-06-2020,32.1,24.5,28.9,74.6,1.5,2020-06-18T05:21:58,2020-06-18T18:47:25,rain,yes,yes
"Raipur,India",19-06-2020,34.1,24.9,29.1,71.6,2.6,2020-06-19T05:22:09,2020-06-19T18:47:39,rain,yes,yes
"Raipur,India",20-06-2020,34.4,23.2,28,78.6,12,2020-06-20T05:22:21,2020-06-20T18:47:53,rain,yes,yes
"Raipur,India",21-06-2020,31.2,24.1,27.2,85.1,25,2020-06-21T05:22:34,2020-06-21T18:48:06,rain,yes,yes
"Raipur,India",22-06-2020,30.5,23.9,25.5,93.1,61,2020-06-22T05:22:47,2020-06-22T18:48:18,rain,yes,yes
"Raipur,India",23-06-2020,31.2,23.1,26,90,76,2020-06-23T05:23:01,2020-06-23T18:48:29,rain,yes,yes
"Raipur,India",24-06-2020,33.1,24.4,29,79,0.4,2020-06-24T05:23:16,2020-06-24T18:48:40,rain,yes,yes
"Raipur,India",25-06-2020,34.6,25.5,30.2,77.4,0.2,2020-06-25T05:23:32,2020-06-25T18:48:49,rain,yes,yes
"Raipur,India",26-06-2020,33.3,25.1,29.6,77.7,0.5,2020-06-26T05:23:48,2020-06-26T18:48:58,rain,yes,yes
"Raipur,India",27-06-2020,34.3,25.3,28.7,80.1,0.4,2020-06-27T05:24:05,2020-06-27T18:49:05,rain,yes,yes
"Raipur,India",28-06-2020,33.1,24.9,28.3,80.5,1,2020-06-28T05:24:22,2020-06-28T18:49:12,rain,yes,yes
